"data";"valor"
"01/03/2024";"24,14"
"01/04/2024";"24,01"
"01/05/2024";"23,69"
"01/06/2024";"24,09"
"01/07/2024";"24,32"
"01/08/2024";"24,57"
"01/09/2024";"24,41"
"01/10/2024";"24,19"
"01/11/2024";"24,20"
"01/12/2024";"24,74"
"01/01/2025";"24,95"
"01/02/2025";"25,08"
